"navn","kommune","fylke","kategori","iua","lenke_faktaark","longitude","latitude","uuid_original","nodhavnnummer","forvaltningsstatus"
"Skansbukta, Billefjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211108-Skansbukta, Billefjorden.pdf","16.026635298041288","78.524998806332135","b4afe59a-40b0-483c-8ed1-f54781d20f73","6211108","Vedtatt"
"Trygghamna, Isfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211112-Trygghamna, Isfjorden.pdf","13.783330295944971","78.249995771070161","4087588b-3168-4f8d-8ed2-0aee07d7b2bb","6211112","Vedtatt"
"StJonsfjorden, Forlandsundet","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211141-StJonsfjorden, Forlandsundet.pdf","12.999995178536791","78.524994375171701","04419ea9-b84e-465a-82c6-ce82bbdcbf96","6211141","Vedtatt"
"Selvågen, Forlandsundet","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211113-Selvaagen, Forlandsundet.pdf","11.433312028815603","78.583331497780975","e074068c-4d1b-4468-9205-a51994d8a51d","6211113","Vedtatt"
"Möllerhamna, Möllerfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211134-Mollerhamna, Mollerfjorden.pdf","11.866656504823458","79.269993051864361","c32c07b1-21e4-40ed-b83d-604766edfb78","6211134","Vedtatt"
"Signehamna, Lilliehöökfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211114-Signehamna, Lilliehookfjorden.pdf","11.549973978422674","79.271659033589799","d3544fdd-270c-4e35-9c66-a9ee5448d31d","6211114","Vedtatt"
"Trinityhamna, Magdalenefjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211115-Trinityhamna, Magdalenefjorden.pdf","11.061643301841784","79.558332293642607","31ff336c-1536-4e25-9c12-a221966fc5fd","6211115","Vedtatt"
"Scheibukta, Bjørnfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211116-Scheibukta, Bjoornfjorden.pdf","11.149992007239984","79.641665509655951","a82c0131-96b5-4565-b0db-20a25619587f","6211116","Vedtatt"
"Alicehamna, Raudfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211117-Alicehamna, Raudfjorden.pdf","12.199956389027887","79.733330535618194","c030f031-1487-4616-bdbe-b45517db102d","6211117","Vedtatt"
"Anderssonbukta, Storfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211136-Anderssonbukta, Storfjorden.pdf","20.533323038394325","78.283328954504597","62768077-9060-43a9-8a4b-22e745ae081e","6211136","Vedtatt"
"Kaldbukta, Van Mijenfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211140-Kaldbukta, Van Mijenfjorden.pdf","15.358296529168831","77.84166351623702","754ff684-3b28-4c99-9827-4e850cf3c021","6211140","Vedtatt"
"Gullybukta, Magdalenefjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211135-Gullybukta, Magdalenefjorden.pdf","10.949968477906889","79.549991143532338","b3b9e2d5-e66d-4d5a-8b5c-f019b04934bd","6211135","Vedtatt"
"Texas bar, Liefdefjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211118-Texas bar, Liefdefjorden.pdf","12.733297796336759","79.613324592019211","6bf13376-ad03-4797-8722-ea7a466c5a4d","6211118","Vedtatt"
"Sorgfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211119-Sorgfjorden.pdf","16.833319705793155","79.909998036193798","899eebe8-7813-4650-b404-d11208c2f565","6211119","Vedtatt"
"Kinnvika, Murchisonfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211120-Kinnvika, Murchisonfjorden.pdf","18.216634866228205","80.041666755826157","4bce4acc-bfab-4135-bc2a-8b408dc55b13","6211120","Vedtatt"
